Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/41-openroad-repairantennas/1-diodeinsertion/ALU.odb'…
Reading design constraints file at '/nix/store/ifgrnqkf6pcsk2qzdn5bai2rvd4skbbc-python3-3.11.9-env/lib/python3.11/site-packages/librelane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 1.6
[INFO] Setting input delay to: 1.6
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO] Setting signal min routing layer to: met1 and clock min routing layer to met1. 
[INFO] Setting signal max routing layer to: met5 and clock max routing layer to met5. 
-congestion_iterations 50 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 30%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 25 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 27
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 5171

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal      69464         33768          51.39%
met2       Vertical        51581         33738          34.59%
met3       Horizontal      34732         23807          31.46%
met4       Vertical        20715         12956          37.46%
met5       Horizontal       6900          3249          52.91%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 63679
[INFO GRT-0198] Via related Steiner nodes: 1035
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 80832
[INFO GRT-0112] Final usage 3D: 289386

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             33768         17981           53.25%             0 /  0 /  0
met2             33738         18335           54.35%             0 /  0 /  0
met3             23807          6348           26.66%             0 /  0 /  0
met4             12956          4076           31.46%             0 /  0 /  0
met5              3249           150            4.62%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           107518         46890           43.61%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 507281 um
[INFO GRT-0014] Routed nets: 10920
[INFO RSZ-0094] Found 78 endpoints with setup violations.
[INFO RSZ-0099] Repairing 78 out of 78 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
     1660 |      39 |    1072 |      134 |      0 |   279 |   -7.533 |     -375.5 |     78 | _14522_/D
     1661 |      39 |    1072 |      134 |      0 |   278 |   -7.533 |     -375.5 |     78 | _14522_/D
     1668 |      39 |    1074 |      134 |      0 |   278 |   -7.533 |     -375.5 |     78 | _14522_/D
     1670 |      39 |    1074 |      134 |      0 |   279 |   -7.533 |     -375.8 |     78 | _14522_/D
     1673 |      40 |    1074 |      134 |      0 |   281 |   -7.533 |     -375.3 |     78 | _14522_/D
     1674 |      40 |    1074 |      134 |      0 |   281 |   -7.533 |     -375.3 |     78 | _14522_/D
     1680 |      40 |    1078 |      134 |      0 |   282 |   -7.536 |     -375.2 |     78 | _14522_/D
     1684 |      40 |    1075 |      134 |      0 |   281 |   -7.533 |     -375.3 |     78 | _14522_/D
     1688 |      40 |    1075 |      134 |      0 |   281 |   -7.533 |     -375.3 |     78 | _14522_/D
     1690 |      40 |    1075 |      134 |      0 |   282 |   -7.533 |     -375.2 |     78 | _14522_/D
     1693 |      40 |    1076 |      134 |      0 |   282 |   -7.533 |     -375.2 |     78 | _14522_/D
     1696 |      40 |    1076 |      134 |      0 |   282 |   -7.533 |     -375.2 |     78 | _14522_/D
     1700 |      40 |    1079 |      134 |      0 |   282 |   -7.533 |     -375.3 |     78 | _14522_/D
     1710 |      41 |    1083 |      134 |      0 |   287 |   -7.533 |     -374.9 |     78 | _14522_/D
     1720 |      41 |    1087 |      136 |      0 |   292 |   -7.533 |     -375.2 |     78 | _14522_/D
     1730 |      41 |    1090 |      138 |      0 |   298 |   -7.533 |     -374.9 |     78 | _14522_/D
     1740 |      41 |    1097 |      140 |      0 |   300 |   -7.533 |     -376.3 |     78 | _14522_/D
     1743 |      41 |    1089 |      137 |      0 |   291 |   -7.533 |     -374.5 |     78 | _14522_/D
     1748 |      41 |    1091 |      137 |      0 |   293 |   -7.533 |     -374.4 |     78 | _14522_/D
     1750 |      41 |    1091 |      137 |      0 |   294 |   -7.533 |     -374.4 |     78 | _14522_/D
     1751 |      41 |    1091 |      137 |      0 |   293 |   -7.533 |     -374.4 |     78 | _14522_/D
     1754 |      41 |    1091 |      137 |      0 |   294 |   -7.533 |     -374.3 |     78 | _14522_/D
     1759 |      41 |    1092 |      137 |      0 |   294 |   -7.533 |     -374.3 |     78 | _14522_/D
     1760 |      41 |    1092 |      137 |      0 |   294 |   -7.533 |     -374.3 |     78 | _14522_/D
     1764 |      41 |    1093 |      137 |      0 |   295 |   -7.533 |     -374.3 |     78 | _14522_/D
     1766 |      41 |    1093 |      137 |      0 |   296 |   -7.533 |     -374.3 |     78 | _14522_/D
     1770 |      41 |    1093 |      137 |      0 |   299 |   -7.535 |     -374.3 |     78 | _14522_/D
     1770 |      41 |    1093 |      137 |      0 |   296 |   -7.533 |     -374.3 |     78 | _14522_/D
     1778 |      41 |    1095 |      137 |      0 |   296 |   -7.533 |     -374.3 |     78 | _14522_/D
     1780 |      41 |    1095 |      137 |      0 |   297 |   -7.533 |     -374.3 |     78 | _14522_/D
     1781 |      41 |    1095 |      137 |      0 |   296 |   -7.533 |     -374.3 |     78 | _14522_/D
     1785 |      41 |    1095 |      137 |      0 |   296 |   -7.533 |     -374.3 |     78 | _14522_/D
     1787 |      41 |    1095 |      137 |      0 |   297 |   -7.533 |     -374.3 |     78 | _14522_/D
     1790 |      41 |    1095 |      137 |      0 |   299 |   -7.533 |     -374.2 |     78 | _14522_/D
     1790 |      41 |    1095 |      137 |      0 |   299 |   -7.533 |     -374.2 |     78 | _14522_/D
     1799 |      41 |    1095 |      137 |      0 |   301 |   -7.533 |     -374.2 |     78 | _14522_/D
     1800 |      41 |    1095 |      137 |      0 |   301 |   -7.533 |     -374.2 |     78 | _14522_/D
     1802 |      41 |    1095 |      137 |      0 |   301 |   -7.533 |     -374.2 |     78 | _14522_/D
     1804 |      41 |    1095 |      137 |      0 |   301 |   -7.533 |     -374.2 |     78 | _14522_/D
     1810 |      41 |    1099 |      137 |      0 |   302 |   -7.533 |     -373.9 |     78 | _14522_/D
     1820 |      41 |    1107 |      137 |      0 |   304 |   -7.541 |     -373.8 |     78 | _14499_/D
     1830 |      41 |    1111 |      139 |      0 |   309 |   -7.541 |     -373.7 |     78 | _14499_/D
     1833 |      41 |    1104 |      138 |      0 |   302 |   -7.533 |     -374.0 |     78 | _14522_/D
     1838 |      41 |    1105 |      138 |      0 |   302 |   -7.533 |     -374.0 |     78 | _14522_/D
     1840 |      41 |    1106 |      138 |      0 |   302 |   -7.533 |     -374.0 |     78 | _14522_/D
     1844 |      41 |    1106 |      138 |      0 |   302 |   -7.533 |     -374.0 |     78 | _14522_/D
     1847 |      41 |    1107 |      138 |      0 |   302 |   -7.533 |     -374.0 |     78 | _14522_/D
     1850 |      41 |    1107 |      138 |      0 |   304 |   -7.533 |     -374.0 |     78 | _14522_/D
     1851 |      41 |    1107 |      138 |      0 |   303 |   -7.533 |     -373.9 |     78 | _14522_/D
     1852 |      41 |    1107 |      138 |      0 |   303 |   -7.533 |     -373.9 |     78 | _14522_/D
     1860 |      41 |    1112 |      142 |      0 |   303 |   -7.533 |     -374.0 |     78 | _14522_/D
     1870 |      41 |    1121 |      142 |      0 |   304 |   -7.533 |     -373.9 |     78 | _14522_/D
     1872 |      41 |    1122 |      142 |      0 |   305 |   -7.533 |     -373.9 |     78 | _14522_/D
     1880 |      41 |    1125 |      142 |      0 |   309 |   -7.533 |     -373.5 |     78 | _14522_/D
     1890 |      42 |    1133 |      144 |      0 |   309 |   -7.533 |     -372.3 |     78 | _14522_/D
     1899 |      43 |    1135 |      144 |      0 |   310 |   -7.533 |     -370.9 |     78 | _14522_/D
     1900 |      43 |    1135 |      144 |      0 |   310 |   -7.533 |     -370.9 |     78 | _14522_/D
     1906 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1908 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1910 |      43 |    1137 |      144 |      0 |   314 |   -7.533 |     -371.0 |     78 | _14522_/D
     1910 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1912 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1914 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1916 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1918 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1920 |      43 |    1137 |      144 |      0 |   314 |   -7.533 |     -371.0 |     78 | _14522_/D
     1920 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1922 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     78 | _14522_/D
     1923 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     77 | _14522_/D
     1924 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     76 | _14522_/D
     1925 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     75 | _14522_/D
     1926 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     74 | _14522_/D
     1927 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     73 | _14522_/D
     1928 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     72 | _14522_/D
     1929 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     71 | _14522_/D
     1930 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     71 | _14522_/D
     1930 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     70 | _14522_/D
     1931 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     69 | _14522_/D
     1932 |      43 |    1136 |      144 |      0 |   314 |   -7.533 |     -370.8 |     68 | _14522_/D
    1934* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1935* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1936* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1937* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1938* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1939* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1940* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1940* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1941* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1942* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1943* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1944* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1945* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1946* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1947* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1948* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1949* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1950* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1950* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1951* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1952* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1953* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1954* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1955* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1956* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1957* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1958* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1959* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1960* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1960* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1961* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1962* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1963* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1964* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1965* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1966* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1967* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1968* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1969* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1970* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1970* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1971* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1972* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1973* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1974* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1975* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1976* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1977* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1978* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1979* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1980* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1980* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1981* |      43 |    1137 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1983* |      43 |    1138 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1984* |      43 |    1138 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1986* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1987* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1988* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1989* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1990* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1990* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1991* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1992* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1993* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1994* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1995* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1996* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1997* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1998* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    1999* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    2000* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    2001* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    2002* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    2003* |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
    final |      43 |    1139 |      144 |      0 |   314 |   -7.530 |     -370.7 |     68 | _14499_/D
---------------------------------------------------------------------------------------------------
[INFO RSZ-0059] Removed 43 buffers.
[INFO RSZ-0040] Inserted 69 buffers.
[INFO RSZ-0041] Resized 1139 instances.
[INFO RSZ-0043] Swapped pins on 314 instances.
[WARNING RSZ-0062] Unable to repair all setup violations.
[INFO RSZ-0033] No hold violations found.
Placement Analysis
---------------------------------
total displacement      14720.8 u
average displacement        1.1 u
max displacement           51.5 u
original HPWL          305227.0 u
legalized HPWL         326375.8 u
delta HPWL                    7 %

[INFO DPL-0020] Mirrored 5496 instances
[INFO DPL-0021] HPWL before          326375.8 u
[INFO DPL-0022] HPWL after           317267.5 u
[INFO DPL-0023] HPWL delta               -2.8 %
-congestion_iterations 50 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 30%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 25 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 27
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 5296

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal      69464         33758          51.40%
met2       Vertical        51581         33738          34.59%
met3       Horizontal      34732         23807          31.46%
met4       Vertical        20715         12956          37.46%
met5       Horizontal       6900          3249          52.91%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 65322
[INFO GRT-0198] Via related Steiner nodes: 1185
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 83969
[INFO GRT-0112] Final usage 3D: 301131

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             33758         18374           54.43%             0 /  0 /  0
met2             33738         18615           55.18%             0 /  0 /  0
met3             23807          7205           30.26%             0 /  0 /  0
met4             12956          4645           35.85%             0 /  0 /  0
met5              3249           385           11.85%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           107508         49224           45.79%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 532134 um
[INFO GRT-0014] Routed nets: 10946
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Fill cell                               286    1073.53
  Tap cell                               2175    2721.36
  Antenna cell                            118     295.28
  Clock buffer                             28     406.64
  Timing Repair Buffer                   3361   22614.19
  Inverter                                448    1701.63
  Clock inverter                           16     255.24
  Sequential cell                         314    7880.06
  Multi-Input combinational cell         6731   64855.95
  Total                                 13477  101803.89
Writing OpenROAD database to '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/42-openroad-resizertimingpostgrt/ALU.odb'…
Writing netlist to '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/42-openroad-resizertimingpostgrt/ALU.nl.v'…
Writing powered netlist to '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/42-openroad-resizertimingpostgrt/ALU.pnl.v'…
Writing layout to '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/42-openroad-resizertimingpostgrt/ALU.def'…
Writing timing constraints to '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/42-openroad-resizertimingpostgrt/ALU.sdc'…
